ip,anonblock,proxy,vpn,cdn,public-wifi,rangeblock,school-block,tor,webhost
2.56.112.0/23,False,True,False,False,False,False,False,False,True
2.56.117.0/24,False,True,False,False,False,False,False,False,True
2.56.118.0/23,False,True,False,False,False,False,False,False,True
2.56.120.0/21,False,True,False,False,False,False,False,False,True
2.56.148.0/22,False,True,False,False,False,False,False,False,True
2.56.164.0/22,False,True,False,False,False,False,False,False,True
2.56.172.0/22,False,False,True,False,False,False,False,False,False
2.56.176.0/22,False,True,True,False,False,False,False,False,True
2.56.188.0/22,False,True,False,False,False,False,False,False,True
2.56.205.55,False,True,False,False,False,False,False,False,False
2.56.220.0/22,False,True,False,False,False,False,False,False,True
2.56.228.0/22,False,True,False,False,False,False,False,False,True
2.56.236.0/22,False,True,False,False,False,False,False,False,True
2.56.240.0/23,False,True,False,False,False,False,False,False,True
2.56.242.0/24,False,True,False,False,False,False,False,False,True
2.56.243.0/24,False,True,False,False,False,False,False,False,True
2.56.248.0/24,False,True,False,False,False,False,False,False,True
2.56.252.0/23,False,True,True,False,False,False,False,False,True
2.56.255.0/24,False,True,False,False,False,False,False,False,False
2.57.17.0/24,False,True,False,False,False,False,False,False,False
2.57.20.0/22,False,True,False,False,False,False,False,False,True
2.57.28.0/22,False,True,False,False,False,False,False,False,True
2.57.68.0/22,False,True,False,False,False,False,False,False,True
2.57.76.0/22,False,True,False,False,False,False,False,False,True
2.57.88.0/22,False,True,False,False,False,False,False,False,True
2.57.148.0/24,False,False,True,False,False,False,False,False,False
2.57.152.0/22,False,True,False,False,False,False,False,False,True
2.57.168.0/23,False,True,True,False,False,False,False,False,True
2.57.170.0/24,False,True,False,False,False,False,False,False,True
2.57.171.0/24,False,False,True,False,False,False,False,False,False
2.57.176.0/22,False,True,False,False,False,False,False,False,True
2.57.248.0/22,False,True,False,False,False,False,False,False,True
2.58.12.0/22,False,True,False,False,False,False,False,False,True
2.58.28.0/24,False,True,False,False,False,False,False,False,True
2.58.29.0/24,False,True,False,False,False,False,False,False,False
2.58.32.0/22,False,True,False,False,False,False,False,False,False
2.58.36.0/22,False,True,True,False,False,False,False,False,True
2.58.44.0/22,False,True,False,False,False,False,False,False,True
2.58.64.0/22,False,True,False,False,False,False,False,False,True
2.58.68.0/22,False,False,False,False,False,False,False,False,True
2.58.72.0/23,False,True,True,False,False,False,False,False,True
2.58.74.0/24,False,True,True,False,False,False,False,False,True
2.58.75.0/24,False,True,False,False,False,False,False,False,True
2.58.76.0/22,False,True,False,False,False,False,False,False,False
2.58.80.0/22,False,True,False,False,False,False,False,False,True
2.58.95.0/24,False,True,True,False,False,False,False,False,False
2.58.98.0/24,False,True,False,False,False,False,False,False,True
2.58.99.0/24,False,True,False,False,False,False,False,False,True
2.58.113.0/24,False,False,False,False,False,False,False,False,True
2.58.124.0/22,False,True,False,False,False,False,False,False,True
2.58.148.0/22,False,True,False,False,False,False,False,False,False
2.58.171.0/24,False,True,False,False,False,False,False,False,True
2.58.172.0/24,False,True,False,False,False,False,False,False,False
2.58.173.0/24,False,True,False,False,False,False,False,False,True
2.58.192.0/22,False,True,True,False,False,False,False,False,True
2.58.202.0/24,False,False,True,False,False,False,False,False,False
2.58.240.0/22,False,True,False,False,False,False,False,False,True
2.59.0.0/22,False,True,False,False,False,False,False,False,True
2.59.8.0/23,False,True,False,False,False,False,False,False,True
2.59.14.0/24,False,True,False,False,False,False,False,False,True
2.59.20.0/23,False,True,False,False,False,False,False,False,True
2.59.22.0/23,False,True,False,False,False,False,False,False,True
2.59.40.0/22,False,True,False,False,False,False,False,False,True
2.59.48.0/24,False,True,False,False,False,False,False,False,True
2.59.49.0/24,False,True,False,False,False,False,False,False,False
2.59.50.0/24,False,True,False,False,False,False,False,False,True
2.59.60.0/22,False,True,False,False,False,False,False,False,True
2.59.84.0/22,False,True,False,False,False,False,False,False,False
2.59.150.0/24,False,False,False,False,False,False,False,False,True
2.59.151.0/24,False,True,False,False,False,False,False,False,False
2.59.152.0/22,False,True,False,False,False,False,False,False,False
2.59.156.0/24,False,True,False,False,False,False,False,False,True
2.59.157.0/24,False,True,False,False,False,False,False,False,True
2.59.158.0/23,False,True,False,False,False,False,False,False,False
2.59.161.0/24,False,True,False,False,False,False,False,False,True
2.59.162.0/23,False,True,False,False,False,False,False,False,True
2.59.168.0/22,False,True,False,False,False,False,False,False,True
2.59.183.0/24,False,True,False,False,False,False,False,False,True
2.59.204.0/22,False,True,False,False,False,False,False,False,True
2.59.212.0/24,False,True,False,False,False,False,False,False,True
2.59.220.0/22,False,False,False,False,False,False,False,False,True
2.61.29.69,False,True,False,False,False,False,False,False,False
2.62.58.116,False,True,False,False,False,False,False,False,False
2.62.99.222,False,True,False,False,False,False,False,False,False
2.63.18.181,False,False,True,False,False,False,False,False,False
2.63.51.42,False,True,False,False,False,False,False,False,False
2.63.162.206,False,True,False,False,False,False,False,False,True
2.78.60.10,False,True,False,False,False,False,False,False,False
2.87.235.51,False,True,True,False,False,False,False,False,False
2.91.103.243,False,True,False,False,False,False,False,False,False
2.91.187.138,False,True,False,False,False,False,False,False,False
2.91.248.195,False,True,False,False,False,False,False,False,False
2.97.208.0/20,False,False,False,False,False,True,False,False,False
2.100.65.0/24,False,False,False,False,False,False,False,True,False
2.109.102.67,False,False,False,False,False,False,True,False,False
2.114.231.210,False,True,False,False,False,False,False,False,False
2.122.134.16,False,True,False,False,False,False,False,False,False
2.132.232.95,False,True,False,False,False,False,False,False,False
2.136.144.142,False,True,False,False,False,False,False,False,False
2.137.70.123,False,True,False,False,False,False,False,False,False
2.180.31.98,False,True,False,False,False,False,False,False,False
2.201.39.142,False,True,False,False,False,False,False,False,False
2.209.79.7,False,True,False,False,False,False,False,False,False
2.228.9.175,False,False,False,False,False,False,True,False,False
2.228.17.210,False,False,False,False,False,False,True,False,False
2.229.249.153,False,True,False,False,False,False,False,False,True
